# Shared fixture for keys.awk and keys.ps1. One case per line:
#   <mode><TAB><command><TAB><expected keys>
# The mode is bash or pwsh. In the command, \n is a newline and \t a tab. The
# expected keys are the extractor's output lines, each written <segment>:<entry>
# and joined with " | ", or "-" for no output. Read by gate-test.sh and
# gate-test.ps1, so a case added here is checked against both extractors.
#
# Plain commands: the first word, then the subcommand candidates, then the task
# names below each key, which only a PROJECT class reads.
bash	ls -la	1:ls
bash	git status	1:git | 1:git status | 1:+git status
bash	git commit -m "Fix the thing"	1:git | 1:git commit | 1:git commit ? | 1:+git commit
bash	git -C "$WT" status	1:git | 1:git status | 1:+git status
bash	git -C status commit	1:git | 1:git status | 1:git commit | 1:git status commit | 1:+git status | 1:+git commit | 1:+git status commit
bash	svn --config-dir info --username status commit	1:svn | 1:svn info | 1:svn status | 1:svn commit | 1:svn info status | 1:svn info commit | 1:svn status commit | 1:+svn info | 1:+svn status | 1:+svn commit | 1:+svn info status | 1:+svn info commit | 1:+svn status commit | 1:+svn info status commit
bash	gh pr create --title x --body y	1:gh | 1:gh pr | 1:gh pr create | 1:+gh pr | 1:+gh create | 1:+gh x | 1:+gh y | 1:+gh pr create | 1:+gh pr x | 1:+gh pr y | 1:+gh pr create x | 1:+gh pr create y
# More than 4 candidates at one depth is READ rather than a dropped key.
bash	git -a a -b b -c c -d d -e e x	1:READ
# More than 8 task names below one key: only a PROJECT key reads the "!".
bash	make a b c d e f g h i	1:make | 1:make a | 1:make a b | 1:+make ! | 1:+make a b | 1:+make a c | 1:+make a d | 1:+make a e | 1:+make a f | 1:+make a g | 1:+make a h | 1:+make a i | 1:+make a b c | 1:+make a b d | 1:+make a b e | 1:+make a b f | 1:+make a b g | 1:+make a b h | 1:+make a b i
# A word that cannot be read as a name adds the marker "?" at its depth.
bash	hg "$verb" -m x	1:hg | 1:hg ? | 1:+hg ? | 1:+hg x
bash	make check "$task"	1:make | 1:make check | 1:make check ? | 1:+make check | 1:+make ? | 1:+make check ?
bash	ls "$dir"	1:ls | 1:ls ? | 1:+ls ?
bash	python3 -c 'print(1)'	1:python3 | 1:python3 ?
# A word directly after a flag may be that flag's value, so it adds the marker
# only when no name follows at that depth, and never among task names.
bash	git log --format "%h %s"	1:git | 1:git log | 1:git log ? | 1:+git log
bash	./gradlew test --tests "*Foo*"	1:./gradlew | 1:./gradlew test | 1:./gradlew test ? | 1:+./gradlew test
# Unless no name follows at that depth, when it may be the subcommand itself.
bash	hg -v "$verb"	1:hg | 1:hg ?
bash	hg -q "$verb" --message=text	1:hg | 1:hg ?
# Wrappers that run the command after them are dropped, with their operand.
bash	timeout 60 hg commit -m x	1:hg | 1:hg commit | 1:hg commit x | 1:+hg commit | 1:+hg x | 1:+hg commit x
bash	setsid hg commit -m x	1:hg | 1:hg commit | 1:hg commit x | 1:+hg commit | 1:+hg x | 1:+hg commit x
# Paths as the first word are keys as written.
bash	./gradlew build --info	1:./gradlew | 1:./gradlew build | 1:+./gradlew build
bash	"$WT"/gradlew check	1:$WT/gradlew | 1:$WT/gradlew check | 1:+$WT/gradlew check
# A quoted or odd first word goes to the reader.
bash	"my tool" run	1:READ
bash	a,b c	1:READ
bash	[ -f x ] && echo y	1:[ | 1:[ x | 1:+[ x | 2:echo | 2:echo y | 2:+echo y
# Leading assignments, redirections, shell words, and wrappers are dropped.
bash	FOO=1 sudo -E env BAR=2 nohup git push	1:git | 1:git push | 1:+git push
bash	if git diff --quiet; then echo same; fi	1:git | 1:git diff | 1:+git diff | 2:echo | 2:echo same | 2:+echo same
bash	for f in a b; do rm "$f"; done	1:rm | 1:rm ? | 1:+rm ?
bash	2>/dev/null ls	1:ls
bash	echo x > out.txt	1:echo | 1:echo x | 1:+echo x
bash	x="$(date)"	1:date
# Comments, with a quote in them.
bash	ls # don't do this	1:ls
bash	ls\n# it's a comment\npwd	1:ls | 2:pwd
bash	echo a#b	1:echo
# Separators, and the redirections that are not separators.
bash	ls foo 2>&1 | grep bar	1:ls | 1:ls foo | 1:+ls foo | 2:grep | 2:grep bar | 2:+grep bar
bash	make build &> log.txt	1:make | 1:make build | 1:+make build
bash	a && b || c; d & e	1:a | 2:b | 3:c | 4:d | 5:e
bash	{ ls; pwd; }	1:ls | 2:pwd
bash	echo ${HOME}/x	1:echo | 1:echo ? | 1:+echo ?
